query,seed_eggNOG_ortholog,evalue,score,eggNOGs,domain,COG Cat.,eggNOG HMM Desc.,predicted name,GO_terms,EC,KEGG KO,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
WP_004846568.1,1005995.GTPT_0359,6.30E-24,115.9,"COG1841@1|root,COG1841@2|Bacteria,1N6ZE@1224|Proteobacteria,1SC8N@1236|Gammaproteobacteria,4BVAT@82986|Tatumella",1236|Gammaproteobacteria,J,Ribosomal protein L30p/L7e,rpmD,"GO:0000027,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02907,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L30
WP_004929772.1,1151116.Q7S_01730,1.20E-45,188.7,"COG0185@1|root,COG0185@2|Bacteria,1RGYX@1224|Proteobacteria,1S5VT@1236|Gammaproteobacteria,3FHTQ@34037|Rahnella",1236|Gammaproteobacteria,J,Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA,rpsS,"GO:0000028,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02965,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_S19
WP_005967268.1,218491.ECA2735,1.40E-104,385.6,"COG0791@1|root,COG0791@2|Bacteria,1N0EE@1224|Proteobacteria,1RR2X@1236|Gammaproteobacteria,1MS1T@122277|Pectobacterium",1236|Gammaproteobacteria,M,NlpC/P60 family,spr,"GO:0000270,GO:0003674,GO:0003824,GO:0004175,GO:0006022,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009254,GO:0016787,GO:0019538,GO:0030203,GO:0043170,GO:0044238,GO:0070011,GO:0071704,GO:0140096,GO:1901135,GO:1901564",3.4.17.13,ko:K13694,-,-,-,-,"ko00000,ko01000,ko01002,ko01011",-,-,-,NLPC_P60
WP_005967274.1,1166016.W5S_1867,4.90E-102,377.1,"COG0231@1|root,COG0231@2|Bacteria,1NWY9@1224|Proteobacteria,1RQ0N@1236|Gammaproteobacteria,1MPR7@122277|Pectobacterium",1236|Gammaproteobacteria,J,Elongation factor P-like protein,yeiP,"GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006414,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576",-,ko:K02356,-,-,-,-,"ko00000,ko03012",-,-,-,"EFP,EFP_N,Elong-fact-P_C"
WP_005967276.1,218491.ECA2731,7.00E-45,186,"COG0727@1|root,32S46@2|Bacteria,1MZCU@1224|Proteobacteria,1SCG7@1236|Gammaproteobacteria,1MSST@122277|Pectobacterium",1236|Gammaproteobacteria,S,Fe-S-cluster oxidoreductase,yeiW,-,-,ko:K06940,-,-,-,-,ko00000,-,-,-,CxxCxxCC
WP_005967280.1,218491.ECA2728,3.20E-175,620.9,"COG1105@1|root,COG1105@2|Bacteria,1MVNW@1224|Proteobacteria,1RP6K@1236|Gammaproteobacteria,1MS04@122277|Pectobacterium",1236|Gammaproteobacteria,H,Belongs to the carbohydrate kinase PfkB family,fruK,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006000,GO:0006001,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008443,GO:0008662,GO:0009056,GO:0009987,GO:0016052,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019200,GO:0019318,GO:0019320,GO:0044237,GO:0044238,GO:0044262,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046365,GO:0046835,GO:0071704,GO:1901575","2.7.1.11,2.7.1.56","ko:K00882,ko:K16370","ko00010,ko00030,ko00051,ko00052,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00052,map00680,map01100,map01110,map01120,map01130,map01200,map01230","M00001,M00345","R00756,R02071,R03236,R03237,R03238,R03239,R04779","RC00002,RC00017","ko00000,ko00001,ko00002,ko01000",-,-,"iAF1260.b2168,iAPECO1_1312.APECO1_4386,iB21_1397.B21_02056,iEC042_1314.EC042_2401,iEC55989_1330.EC55989_2421,iECABU_c1320.ECABU_c24990,iECBD_1354.ECBD_1490,iECB_1328.ECB_02097,iECDH10B_1368.ECDH10B_2325,iECDH1ME8569_1439.ECDH1ME8569_2104,iECD_1391.ECD_02097,iECED1_1282.ECED1_2616,iECH74115_1262.ECH74115_3304,iECIAI1_1343.ECIAI1_2248,iECIAI39_1322.ECIAI39_2308,iECNA114_1301.ECNA114_2259,iECO103_1326.ECO103_2643,iECO111_1330.ECO111_2886,iECO26_1355.ECO26_3080,iECOK1_1307.ECOK1_2400,iECP_1309.ECP_2208,iECS88_1305.ECS88_2316,iECSE_1348.ECSE_2436,iECSF_1327.ECSF_2049,iECSP_1301.ECSP_3046,iECUMN_1333.ECUMN_2504,iECW_1372.ECW_m2369,iECs_1301.ECs3060,iEKO11_1354.EKO11_1586,iETEC_1333.ETEC_2303,iEcDH1_1363.EcDH1_1490,iEcHS_1320.EcHS_A2305,iEcSMS35_1347.EcSMS35_2315,iEcolC_1368.EcolC_1480,iG2583_1286.G2583_2711,iJO1366.b2168,iJR904.b2168,iLF82_1304.LF82_0744,iNRG857_1313.NRG857_11005,iPC815.YPO1299,iSBO_1134.SBO_2156,iSDY_1059.SDY_2316,iSFV_1184.SFV_2243,iSF_1195.SF2253,iSFxv_1172.SFxv_2486,iS_1188.S2382,iUMN146_1321.UM146_05955,iUMNK88_1353.UMNK88_2713,iUTI89_1310.UTI89_C2443,iWFL_1372.ECW_m2369,iY75_1357.Y75_RS11345,iZ_1308.Z3426,ic_1306.c2703",PfkB
WP_005967367.1,218491.ECA2666,4.40E-52,210.3,"COG0393@1|root,COG0393@2|Bacteria,1N0XM@1224|Proteobacteria,1S62I@1236|Gammaproteobacteria,1MSMN@122277|Pectobacterium",1236|Gammaproteobacteria,S,Belongs to the UPF0145 family,ybjQ,-,-,-,-,-,-,-,-,-,-,-,YbjQ_1
WP_005967571.1,1166016.W5S_1950,6.40E-47,193,"COG0776@1|root,COG0776@2|Bacteria,1MZ7M@1224|Proteobacteria,1S8XZ@1236|Gammaproteobacteria,1MSRT@122277|Pectobacterium",1236|Gammaproteobacteria,K,"This protein is one of the two subunits of integration host factor, a specific DNA-binding protein that functions in genetic recombination as well as in transcriptional and translational control",himD,"GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:2001141",-,ko:K05788,-,-,-,-,"ko00000,ko03032,ko03036,ko03400",-,-,-,Bac_DNA_binding
WP_005967739.1,218491.ECA2495,2.60E-79,301.2,"COG0494@1|root,COG0494@2|Bacteria,1RH6N@1224|Proteobacteria,1S20Q@1236|Gammaproteobacteria,1MPRR@122277|Pectobacterium",1236|Gammaproteobacteria,L,NUDIX domain,nudB,"GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0006082,GO:0006575,GO:0006725,GO:0006732,GO:0006760,GO:0006766,GO:0006767,GO:0006807,GO:0008150,GO:0008152,GO:0008828,GO:0009058,GO:0009108,GO:0009110,GO:0009396,GO:0009987,GO:0016053,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017144,GO:0018130,GO:0019177,GO:0019438,GO:0019752,GO:0034641,GO:0042364,GO:0042398,GO:0042558,GO:0042559,GO:0043167,GO:0043169,GO:0043436,GO:0043603,GO:0043604,GO:0043648,GO:0043650,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046394,GO:0046483,GO:0046653,GO:0046654,GO:0046655,GO:0046656,GO:0046872,GO:0047429,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",3.6.1.67,ko:K08310,"ko00790,map00790",M00126,R04638,RC00002,"ko00000,ko00001,ko00002,ko01000",-,-,"iSFV_1184.SFV_1867,iSF_1195.SF1875,iSFxv_1172.SFxv_2099,iS_1188.S1941,iY75_1357.Y75_RS09795,iYL1228.KPN_02379",NUDIX
WP_005967750.1,218491.ECA2489,1.10E-47,195.7,"COG1447@1|root,COG1447@2|Bacteria,1RJSA@1224|Proteobacteria,1S6JR@1236|Gammaproteobacteria,1MSM2@122277|Pectobacterium",1236|Gammaproteobacteria,G,PFAM phosphotransferase system PTS lactose cellobiose-specific IIA subunit,chbA,-,"2.7.1.196,2.7.1.205",ko:K02759,"ko00500,ko02060,map00500,map02060",M00275,"R11170,R11172","RC00017,RC03206","ko00000,ko00001,ko00002,ko01000,ko02000",4.A.3.2,-,-,PTS_IIA
WP_005967874.1,1166016.W5S_2074,1.40E-33,148.3,"COG1278@1|root,COG1278@2|Bacteria,1N6Q5@1224|Proteobacteria,1SCA7@1236|Gammaproteobacteria,1MSYX@122277|Pectobacterium",1236|Gammaproteobacteria,K,Cold shock protein,cspC,-,-,ko:K03704,-,-,-,-,"ko00000,ko03000",-,-,-,CSD
